Country,Year,Unemployment Rate,Excess Deaths,Unemp_per_Death
Austria,2020,5.201,18.07563913792453,0.28773533042534427
Belgium,2020,5.545,63.2239919264717,0.08770404764141956
Bulgaria,2020,5.125,25.085758000754716,0.20429918840187378
Cyprus,2020,7.755,9.395644012396227,0.8253824846671896
Germany,2020,3.881,1.1926129271698112,3.2541991719056726
Denmark,2020,5.637,-8.322041105660377,-0.677357865508006
Spain,2020,15.532,88.06876678128303,0.17636218341257578
Estonia,2020,6.956,3.261987991226415,2.132441939917977
Finland,2020,7.759,10.165094644339622,0.7632983529888291
France,2020,8.009,30.95739532169811,0.2587103959093895
Greece,2020,15.899,14.329368681132076,1.109539460795276
Croatia,2020,7.507,19.794408086062262,0.379248521469347
Hungary,2020,4.25,9.14234081509434,0.46487000276593216
Ireland,2020,5.623,21.05087740509434,0.26711475687180747
Italy,2020,9.164,82.97829944339622,0.11043851297833883
Lithuania,2020,8.487,47.67665556886793,0.1780116473929407
Luxembourg,2020,6.766,0.49068977490566035,13.788752784385666
Latvia,2020,8.098,-7.407683493396226,-1.0931892550780788
Malta,2020,4.347,9.438977704226415,0.460537161567145
Netherlands,2020,3.82,38.14850227415094,0.10013499278550694
Poland,2020,3.155,21.103425288679244,0.14950179683354403
Portugal,2020,6.801,37.145576861320755,0.18309043968790265
Romania,2020,5.035,32.04688471698113,0.1571135554817918
Slovenia,2020,4.971,17.37120559320755,0.2861632126410242
Sweden,2020,8.291,38.01523103037736,0.2180967937134144
Austria,2021,6.459,120.56478588461538,0.05357285672270412
Belgium,2021,6.248,161.57977557692308,0.03866820570638509
Bulgaria,2021,5.267,523.0747778846154,0.01006930600114281
Cyprus,2021,7.513,67.79590898076923,0.11081789613782025
Germany,2021,3.594,78.48672421153846,0.045791183618689495
Denmark,2021,5.043,3.6759544063461536,1.3718886151835248
Spain,2021,14.781,193.8354396153846,0.07625540525163513
Estonia,2021,6.178,144.93842451923075,0.04262499761876665
Finland,2021,7.617,37.680413865384615,0.20214746120390711
France,2021,7.874,113.55473276923077,0.06934101122849518
Greece,2021,14.656,118.6769529423077,0.12349491317934921
Croatia,2021,7.608,274.7124819230769,0.027694409612339127
Hungary,2021,4.045,266.36384846153845,0.015185994733756359
Ireland,2021,6.364,64.32107357692308,0.09894113462501745
Italy,2021,9.497,263.8085869230769,0.03599958633177167
Lithuania,2021,7.112,422.36481403846153,0.016838523862814873
Luxembourg,2021,5.571,35.80869040384616,0.1555767590819693
Latvia,2021,7.513,222.96978975,0.03369514770778493
Malta,2021,3.394,91.53372553846154,0.03707922932268146
Netherlands,2021,4.209,124.96145823076924,0.033682385429811015
Poland,2021,3.268,289.5026780769231,0.0112883238998282
Portugal,2021,6.577,204.10459730769233,0.032223673972835716
Romania,2021,5.59,347.8884313461539,0.01606836990344721
Slovenia,2021,4.744,197.13154096153846,0.024065149477655545
